Paper,Passage,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Subject,Topic,Year,Image Url
GS1,,"Consider the following statements:\n1. Climate and Clean Air Coalition (CCAC) to Reduce Short Lived Climate Pollutants is a unique initiative of G2O group of countries.\n2. The CCAC focuses on methane, black carbon, and hydrofluorocarbons.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2017,
GS1,,"With reference to Trade Related Analysis of Fauna and Flora in Commerce (TRAFFIC), which of the following statements is/are correct?\n1. TRAFFIC is a bureau under the United Nations Environment Programme (UNEP).\n2. The mission of TRAFFIC is to ensure that trade in wild plants and animals is not a threat to the conservation of nature.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2017,
GS1,,"The FAO accords the status of the Globally Important Agricultural Heritage System (GIAHS) to traditional agricultural systems. What is the overall goal of this initiative?\n1. To provide modern technology, training in modern farming methods and financial support to local communities of identified GIAHS so as to greatly enhance their agricultural productivity.\n2. To identify and safeguard eco-friendly traditional farm practices and their associated landscapes, agricultural biodiversity, and knowledge systems of the local communities.\n3. To provide Geographical Indication status to all the varieties of agricultural produce in such identifies GIAHS.",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",B,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2016,
GS1,,"With reference to an initiative called 'The Economics of Ecosystems and Biodiversity (TEEB)', which of the following statements is/are correct?\n1. It is an initiative hosted by UNEP, IMF and World Economic Forum.\n2. It is a global initiative that focuses on drawing attention to the economic benefits of biodiversity.\n3. It presents an approach that can help decision makers recognize, demonstrate, and capture the value of ecosystems and biodiversity.",1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",C,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2016,
GS1,,Which of the following statements is/are correct?\nProper design and effective implementation of UNREDD+ Programme can significantly contribute to\n1. Protection of biodiversity\n2. Resilience of forest ecosystems\n3. Poverty reduction,1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",D,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2016,
GS1,,"What is/are the importance/importances of the 'United Nations Convention to Combat Desertification'?\n1. It aims to promote effective action through innovative national programmes and supportive international partnerships.\n2. It has a special/particular focus on South Asia and North Africa regions, and its Secretariat facilitates the allocation of major portions of financial resources to these regions.\n3. It is committed to a bottom-up approach, encouraging the participation of local people in combating desertification.",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2016,
GS1,,"With reference to an organisation known as 'BirdLife International', which of the following statements is/are correct?\n1. It is a Global Partnership of Conservation Organisations.\n2. The concept of 'biodiversity hotspots' originated from this organisation.\n3. It identifies the sites known/referred to as 'Important Bird and Biodiversity Areas'.",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2015,
GS1,,Which one of the following is associated with the issue of control and phasing out of the use of ozone-depleting substances?,Bretton Woods Conference,Montreal Protocol,Kyoto Protocol,Nagoya Protocol,B,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2015,
GS1,,"With reference to the International Union for Conservation of Nature and Natural Resource (IUCN) and the Convention of International Trade in Endangered Species of Wild Fauna and Flora (CITES), which of the following statements is/are correct?\n1. IUCN is an organ of the United Nations and CITES is an international agreement between governments.\n2. IUCN runs thousands of field projects around the world to better manage natural environments.\n3. CITES is legally binding on the States that have joined it, but this Conventional does not take the place of national laws.",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",B,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2015,
GS1,,"If a wetland of international importance is brought under the 'Montreux Record', what does it imply?","Changes in ecological character have occurred, are occurring or are likely to occur in the wetland as a result of human interference.",The country in which the wetland is located should enact a law to prohibit any human activity within five kilometres from the edge of the wetland.,The survival of the wetland depends on the cultural practices and traditions of certain communities living in its vicinity and therefore the cultural diversity therein should not be destroyed.,It is given the status of 'World Heritage Site'.,A,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2014,
GS1,,"With reference to 'Global Environment Facility', which of the following statements is/are correct?",It serves as a financial mechanism for 'Convention on Biological Diversity' and 'United Nations Framework Convention on Climate Change'.,It undertakes scientific research on environmental issues at global level.,It is an agency under OECD to facilitate the transfer of technology and funds to underdeveloped countries with specific aims to protect their environment.,Both (a) and (b),A,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2014,
GS1,,"With reference to a conservation organisation called 'Wetlands International', which of the following statements is/are correct?\n1. It is an intergovernmental organisation formed by the countries which are signatories to the Ramsar Convention.\n2. It works at the field level to develop and mobilise knowledge and use the practical experience to advocate for better policies.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2014,
GS1,,Consider the following statements regarding 'Earth Hour'\n1. It is an initiative of UNEP and UNESCO.\n2. It is a movement in which the participants switch off the lights for one hour on a certain day every year.\n3. It is a movement to raise awareness about climate change and the need to save the planet.\nWhich of the statements given above is/are correct?,1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",C,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2014,
GS1,,Consider the following international agreements:\n1. The International Treaty on Plant Genetic Resources for Food and Agriculture.\n2. The United Nations Convention to Combat Desertification.\n3. The World Heritage Convention.\nWhich of the above has/have a bearing on biodiversity?,1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",D,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2014,
GS1,,"The ""Red Data Books"" published by the International Union for Conservation of Nature and Natural Resources (IUCN) contain lists of\n1. Endemic plant and animal species present in the biodiversity hotspots.\n2. Threatened plant and animal species.\n3. Protected sites for conservation of nature and natural resources in various countries.\nSelect the correct answer using the code given below:",1 and 3 only,2 only,2 and 3 only,3 only,B,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2011,
GS1,,"Three of the following criteria have contributed to the recognition of western Ghats, Sri Lanka and Indo-Burma regions as hotspots of biodiversity:\n1. Species richness\n2. Vegetation density\n3. Endemism\n4. Ethno-botanical importance\n5. Threat perception\n6. Adaptation of flora and fauna to warm and humid conditions\nWhich three of the above are correct criteria in this context?","1, 2 and 6 only","2, 4 and 6 only","1, 3 and 5 only","3, 4 and 6 only",C,,Environment & Ecology and Disaster Management,Global Conservation Efforts,2011,
GS1,,"Which one of the following has been constituted under the Environment (Protection) Act, 1986?",Central Water Commission,Central Ground Water Board,Central Ground Water Authority,National Water Development Agency,C,,Environment & Ecology and Disaster Management,National Conservation Efforts,2022,
GS1,,"With reference to Indian laws about wildlife protection, consider the following statements :\n1. Wild animals are the sole property of the government.\n2. When a wild animal is declared protected, such animal is entitled for equal protection whether it is found in protected areas or outside.\n3. Apprehension of a protected wild animal becoming a danger to human life is sufficient ground for its capture or killing.\nWhich of the statements given above is/are correct?",1 and 2,2 only,1 and 3,3 only,B,,Environment & Ecology and Disaster Management,National Conservation Efforts,2022,
GS1,,"If a particular plant species is placed under Schedule VI of The Wildlife Protection Act, 1972, what is the implication?",A licence is required to cultivate that plant.,Such a plant cannot be cultivated under any circumstances.,It is a Genetically Modified crop plant.,Such a plant is invasive and harmful to the ecosystem.,A,,Environment & Ecology and Disaster Management,National Conservation Efforts,2020,
GS1,,"Consider the following statements:\n1. 36% of India's districts are classified as ""overexploited"" or ""critical"" by the Central Ground Water Authority (CGWA).\n2. CGWA was formed under the Environment (Protection) Act.\n3. India has the largest area under groundwater irrigation in the world.\nWhich of the statements given above is/are correct?",1 only,2 and 3 only,2 only,1 and 3 only,B,,Environment & Ecology and Disaster Management,National Conservation Efforts,2020,
GS1,,"As per the Solid Waste Management Rules, 2016 in India, which one of the following statements is correct?",Waste generators have to segregate waste into five categories.,"The Rules are applicable to notified urban local bodies, notified towns and all industrial townships only.",The Rules provide for exact and elaborate criteria for the identification of sites for landfills and waste processing facilities.,It is mandatory on the part of the waste generator that the waste generated in one district cannot be moved to another district.,C,,Environment & Ecology and Disaster Management,National Conservation Efforts,2019,
GS1,,"Consider the following statements:\nThe Environment Protection Act, 1986 empowers the Government of India to\n1. state the requirement of public participation in the process of environmental protection, and the procedure and manner in which it is sought\n2. lay down the standards for emission or discharge of environmental pollutants from various sources\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Environment & Ecology and Disaster Management,National Conservation Efforts,2019,
GS1,,"Consider the following statements:\n1. As per recent amendment to the Indian Forest Act, 1927, forest dwellers have the right to fell the bamboos grown on forest areas.\n2. As per the Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act, 2006, bamboo is a minor forest produce.\n3. The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forests Rights) Act, 2006 allows ownership of minor forest produce to forest dwellers.\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",B,,Environment & Ecology and Disaster Management,National Conservation Efforts,2019,
GS1,,"Consider the following states:\n1. Chhattisgarh\n2. Madhya Pradesh\n3. Maharashtra\n4. Odisha\nWith reference to the States mentioned above, in terms of percentage of forest cover to the total area of the State, which one of the following is the correct ascending order?",2-3-1-4,2-3-4-1,3-2-4-1,3-2-1-4,C,,Environment & Ecology and Disaster Management,National Conservation Efforts,2019,
GS1,,"Consider the following statements:\n1. As per law, the Compensatory Afforestation Fund Management and Planning Authority exists at both National and State levels.\n2. People's participation is mandatory in the compensatory afforestation programmes carried out under the Compensatory Afforestation Fund Act, 2016.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,Environment & Ecology and Disaster Management,National Conservation Efforts,2019,
GS1,,"In India, 'extended producer responsibility' was introduced as an important feature in which of the following?","The Bio -medical Waste (Management and Handling) Rules, 1998","The Recycled Plastic (Manufacturing and Usage) Rules, 1999","The e -Waste (Management and Handling) Rules, 2011","The Food Safety and Standard Regulations, 2011",C,,Environment & Ecology and Disaster Management,National Conservation Efforts,2019,
GS1,,"How is the National Green Tribunal (NGT) different from the Central Pollution Control Board (CPCB)?\n\n1. The NGT has been established by an Act whereas the CPCB has been created by an executive order of the Government.\n2. The NGT provides environmental justice and helps reduce the burden of litigation in the higher courts whereas the CPCB promotes cleanliness of streams and wells, and aims to improve the quality of air in the country.\n\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Environment & Ecology and Disaster Management,National Conservation Efforts,2018,
GS1,,"Consider the following statements:\n\n1. The definition of ""Critical Wildlife Habitat"" is incorporated in the Forest Rights Act, 2006.\n2. For the first time in India, Baigas have been given Habitat Rights.\n3. Union Ministry of Environment, Forest and Climate Change officially decides and declares Habitat Rights for Primitive and Vulnerable Tribal Groups in any part of India.\n\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",A,,Environment & Ecology and Disaster Management,National Conservation Efforts,2018,
GS1,,The term 'M-STrIPES' is sometimes seen in the news in the context of,Captive breeding of Wild Fauna,Maintenance of Tiger Reserves,Indigenous Satellite Navigation System,Security of National Highways,B,,Environment & Ecology and Disaster Management,National Conservation Efforts,2017,
GS1,,"In India, if a species of tortoise is declared protected under Schedule I of the Wildlife (Protection) Act, 1972, what does it imply?",It enjoys the same level of protection as the tiger.,"It no longer exists in the wild, a few individuals are under captive protection; and now it is impossible to prevent its extinction.",It is endemic to a particular region of India.,Both (b) and (c) stated above are correct in this context.,A,,Environment & Ecology and Disaster Management,National Conservation Efforts,2017,
GS1,,"According to the Wildlife (Protection) Act, 1972, which of the following animals cannot be hunted by any person except under some provisions provided by law?\n\n1. Gharial\n2. Indian wild ass\n3. Wild buffalo\n\nSelect the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,,Environment & Ecology and Disaster Management,National Conservation Efforts,2017,
GS1,,"With reference to 'Red Sanders', sometimes seen in the news, consider the following statements:\n\n1. It is a tree species found in a part of South India.\n2. It is one of the most important trees in the tropical rainforest areas of South India.\n\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,Environment & Ecology and Disaster Management,National Conservation Efforts,2016,
GS1,,"'Gadgil Committee Report' and 'Kasturirangan Committee Report', sometimes seen in the news, are related to",Constitutional reforms,Ganga Action Plan,Linking of rivers,Protection of Western Ghats,D,,Environment & Ecology and Disaster Management,National Conservation Efforts,2016,
GS1,,The Genetic Engineering Appraisal Committee is constituted under the,"Food Safety and Standards Act, 2006","Geographical Indications of Goods (Registration and Protection) Act, 1999","Environment (Protection) Act, 1986","Wildlife (Protection) Act, 1972",C,,Environment & Ecology and Disaster Management,National Conservation Efforts,2015,
GS1,,"With reference to Bombay Natural History Society (BNHS), consider the following statements:\n\n1. It is an autonomous organisation under the Ministry of Environment and Forests.\n2. It strives to conserve nature through action-based research, education, and public awareness.\n3. It organises and conducts nature trails and camps for the general public.\n\nWhich of the statements given above is/are correct?",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",C,,Environment & Ecology and Disaster Management,National Conservation Efforts,2014,
GS1,,The most important strategy for the conservation of biodiversity together with traditional human life is the establishment of,Biosphere Reserves,Botanical gardens,National Parks,Wildlife Sanctuaries,A,,Environment & Ecology and Disaster Management,National Conservation Efforts,2014,
GS1,,"Consider the following statements:\n1. Animal Welfare Board of India was established under the Environment (Protection) Act, 1986.\n2. National Tiger Conservation Authority is a Statutory Body.\n3. The National Ganga River Basin Authority is chaired by the Prime Minister.\nWhich of the statements given above is/are correct?",1 only,2 and 3 only,2 only,"1, 2 and 3",B,,Environment & Ecology and Disaster Management,National Conservation Efforts,2014,
GS1,,"With reference to 'Eco-Sensitive Zones', which of the following statements is/are correct?\n1. Eco-Sensitive Zones are the areas that are declared under the Wildlife (Protection) Act, 1972.\n2. The purpose of the declaration of Eco-Sensitive Zones is to prohibit all kinds of human activities in those zones except agriculture.\nSelect the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,,Environment & Ecology and Disaster Management,National Conservation Efforts,2014,
GS1,,How does the National Biodiversity Authority (NBA) help in protecting Indian agriculture?\n1. NBA checks the biopiracy and protects the indigenous and traditional genetic resources.\n2. NBA directly monitors and supervises scientific research on the genetic modification of crop plants.\n3. Application for Intellectual Property Rights related to resources genetic/biological cannot be made without the approval of the NBA.\nWhich of the statements given above is/are correct?,1 Only,2 and 3 only,1 and 3 only,"1, 2 and 3",C,,Environment & Ecology and Disaster Management,National Conservation Efforts,2012,
GS1,,"The National Green Tribunal Act, 2010 was enacted in consonance with which of the following provisions of the Constitution of India?\n1. Right to healthy environment, construed as a part of Right to life under Article 21.\n2. Provision of grants for raising the level of administration in the Scheduled Areas for the welfare of Scheduled Tribes under Article 275 (1).\n3. Powers and functions of Gram Sabha as mentioned under Article 243(A).\nSelect the correct answer using the code given below:",1 Only,2 and 3 Only,1 and 3 only,"1, 2 and 3",A,,Environment & Ecology and Disaster Management,National Conservation Efforts,2012,
GS1,,"With reference to India, consider the following Central Acts:\n1. Import and Export (Control) Act, 1947\n2. Mining and Mineral Development (Regulation) Act, 1957\n3. Customs Act, 1962\n4. Indian Forest Act, 1927\nWhich of the above Acts have relevance to/bearing on the biodiversity conservation in the country?",1 and 3 only,"2, 3 and 4 only","1, 2, 3 and 4",None of the above Acts,C,,Environment & Ecology and Disaster Management,National Conservation Efforts,2011,
GS1,,"""Climate Action Tracker"" which monitors the emission reduction pledges of different countries is a :",Database created by coalition of research organisations,"Wing of ""International Panel of Climate Change""","Committee under ""United Nations Framework Convention on Climate Change""",Agency promoted and financed by United Nations Environment Programme and World Bank,A,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2022,
GS1,,"Consider the following statements:\n1. ""The Climate Group"" is an international non-profit organization that drives climate action by building large networks and runs them.\n2. The International Energy Agency in partnership with the Climate Group launched a global initiative ""EP100"".\n3. EP100 brings together leading companies committed to driving innovation in energy efficiency and increasing competitiveness while delivering on emission reduction goals.\n4. Some Indian companies are members of EP100.\n5. The International Energy Agency is the Secretariat to the ""Under2 Coalition"".\nWhich of the statements given above are correct ?","1, 2, 4 and 5","1, 3 and 4 only","2, 3 and 5 only","1, 2, 3, 4 and 5",B,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2022,
GS1,,Which one of the following statements best describes the term 'Social Cost of Carbon'?,"It is a measure, in monetary value, of the long-term damage done by a tonne of CO2 emissions in a given year.","It is a measure of the requirement of fossil fuels for a country to provide goods and services to its citizens, based on the burning of those fuels.",It is a measure of the efforts put in by a climate refugee to adapt to live in a new place.,It is a measure of the contribution of an individual person to the carbon footprint on the planet Earth.,A,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2020,
GS1,,Which of the following statements are correct about the deposits of 'methane hydrate'?\n1. Global warming might trigger the release of methane gas from these deposits.\n2. Large deposits of 'methane hydrate' are found in Arctic Tundra and under the seafloor.\n3. Methane in the atmosphere oxidised to carbon dioxide after a decade or two.\nSelect the correct answer using the code given below.,1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2019,
GS1,,In the context of which of the following do some scientists suggest the use of cirrus cloud thinning technique and the injection of sulphate aerosol into the stratosphere?,Creating artificial rains in some regions.,Reducing the frequency and intensity of tropical cyclones.,Reducing the adverse effects of solar wind on the Earth.,Reducing global warming.,D,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2018,
GS1,,"Which of the following statements best describes ""carbon fertilisation""?",Increased plant growth due to increased concentration of carbon dioxide in the atmosphere,Increased temperature of Earth due to increased concentration of carbon dioxide in the atmosphere,Increased acidity of oceans as a result of increased concentration of carbon dioxide in the atmosphere,Adaptation of all living beings on Earth to the climate change brought about by the increased concentration of carbon dioxide in the atmosphere,A,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2018,
GS1,,"With reference to 'Global Climate Change Alliance', which of the following statements is/are correct?\n1. It is an initiative of the European Union.\n2. It provides technical and financial support to targeted developing countries to integrate climate change into their development policies and budgets.\n3. It is coordinated by World Resources Institute (WRI) and World Business Council for Sustainable Development (WBCSD).\nSelect the correct answer using the code given below:",1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",A,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2017,
GS1,,"In the context of mitigating the impending global warming due to anthropogenic emissions of carbon dioxide, which of the following can be potential sites for carbon sequestration?\n1. Abandoned and uneconomic coal seams\n2. Depleted oil and gas reservoirs\n3. Subterranean deep saline formations\nSelect the correct answer using the code given below:",1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",D,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2017,
GS1,,The term 'Intended Nationally Determined Contributions' is sometimes seen in the news in the context of,pledges made by the European countries to rehabilitate refugees from the war-affected Middle East,plan of action outlined by the countries of the world to combat climate change,capital contributed by the member countries in the establishment of Asian Infrastructure Investment Bank,plan of action outlined by the countries of the world regarding Sustainable Development Goals,B,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2016,
GS1,,Consider the following pairs:\nTerms sometimes seen in the news Their origin\n1. Annex-I Countries : Cartagena Protocol\n2. Certified Emissions Reductions : Nagoya Protocol\n3. Clean Development Mechanisms: Kyoto Protocol\nWhich of the pairs given above is/are correctly matched?,1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",C,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2016,
GS1,,Which of the following best describes the aim of the 'Green India Mission' of the Government of India?\n1. Incorporating environmental benefits and costs into the Union and State Budgets thereby implementing the 'green accounting'.\n2. Launching the second green revolution to enhance agricultural output so as to ensure food security to one and all in the future.\n3. Restoring and enhancing forest cover and responding to climate change by a combination of adaptation and mitigation measures.,1 only,2 and 3 only,3 only,"1, 2 and 3",C,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2016,
GS1,,What is the 'Greenhouse Gas Protocol'?,"It is an international accounting tool for government and business leaders to understand, quantify and manage greenhouse gas emissions.",It is an initiative of the United Nations to offer financial incentives to developing countries to reduce greenhouse gas emissions and to adopt eco-friendly technologies,It is an intergovernmental agreement ratified by all the member countries of the United Nations to reduce greenhouse gas emissions to specified levels by the year 2022,It is one of the multilateral REDD+ initiatives hosted by the World Bank,A,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2016,
GS1,,"With reference to the agreement at the UNFCCC Meeting in Paris in 2015, which of the following statements is/are correct?\n1. The agreement was signed by all the member countries of the UN, and it will go into effect in 2017.\n2. The agreement aims to limit greenhouse gas emissions so that the rise in average global temperature by the end of this century does not exceed 2°C or even 1.5°C above pre-industrial levels.\n3. Developed countries acknowledged their historical responsibility in global warming and committed to donate $ 1000 billion a year from 2020 to help developing countries to cope with climate change.",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",B,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2016,
GS1,,"Which of the following statements regarding 'Green Climate Fund' is/are correct?\n1. It is intended to assist developing countries in adaptation and mitigation practices to counter climate change.\n2. It is founded under the aegis of UNEP, OECD, Asian Development Bank and World Bank.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2015,
GS1,,"The scientific view is that the increase in global temperature should not exceed 2°C above pre-industrial level. If the global temperature increases beyond 3°C above the pre-industrial level, what can be its possible impact/impacts on the world?\n1. Terrestrial biosphere tends toward a net carbon source.\n2. Widespread coral mortality will occur.\n3. All the global wetlands will permanently disappear.\n4. Cultivation of cereals will not be possible anywhere in the world.",1 only,1 and 2 only,"2, 3 and 4 only","1, 2, 3 and 4",B,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2014,
GS1,,"The increasing amount of carbon dioxide in the air is slowly raising the temperature of the atmosphere, because it absorbs",the water vapour of the air and retains its heat.,the UV part of the solar radiation.,all the solar radiations.,the infrared part of the solar radiation.,D,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2012,
GS1,,"Regarding ""carbon credits"", which one of the following statements is not correct?",The carbon credit system was ratified in conjunction with the Kyoto protocol.,Carbon credits are awarded to countries or groups that have reduced greenhouse gases below their emission quota.,The goal of the carbon credit system is to limit the increase of carbon dioxide emission.,Carbon credits are traded at a price fixed from time to time by the United Nations environment programs.,D,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2011,
GS1,,"Human activities in the recent past have caused the increased concentration of carbon dioxide in the atmosphere, but a lot of it does not remain in the lower atmosphere because\n1. its escape into the outer stratosphere\n2. the photosynthesis by phytoplankton in the oceans\n3. the trapping of air in the polar ice caps\nWhich of the statements given above is/are correct?",1 and 2 only,2 only,2 and 3 only,3 only,B,,Environment & Ecology and Disaster Management,Climate Change: Causes and Implications,2011,
GS1,,"Which one of the following best describes the term ""greenwashing""?",Conveying a false impression that a company's products are eco-friendly and environmentally sound,Non-inclusion of ecological/environmental costs in the Annual Financial Statements of a country,Ignoring the disastrous ecological consequences while undertaking infrastructure development,Making mandatory provisions for environmental costs in a government project/programme,A,,Environment & Ecology and Disaster Management,"Environment, Sustainable Development and General Issues",2022,
GS1,,"According to India's National Policy on Biofuels, which of the following can be used as raw materials for the production of biofuels?\n1. Cassava\n2. Damaged wheat grains\n3. Groundnut seeds\n4. Horse grams\n5. Rotten potatoes\n6. Sugar beet\nSelect the correct answer using the code given below:","1, 2, 5 and 6 only","1, 3, 4 and 6 only","2, 3, 4 and 5 only","1, 2, 3, 4, 5 and 6",A,,Environment & Ecology and Disaster Management,"Environment, Sustainable Development and General Issues",2020,
GS1,,"In rural road construction, the use of which of the following is preferred for ensuring environmental sustainability or to reduce carbon footprint?\n1. Copper slag\n2. Cold mix asphalt technology\n3. Geotextiles\n4. Hot mix asphalt technology\n5. Portland cement\nSelect the correct answer using the code given below:","1, 2 and 3 only","2, 3 and 4 only",4 and 5 only,1 and 5 only,A,,Environment & Ecology and Disaster Management,"Environment, Sustainable Development and General Issues",2020,
GS1,,Steel slag can be the material for which of the following?\n1. Construction of base road\n2. Improvement of agricultural soil\n3. Production of cement\nSelect the correct answer using the code given below:,1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,,Environment & Ecology and Disaster Management,"Environment, Sustainable Development and General Issues",2020,
GS1,,"In the context of proposals to the use of hydrogen-enriched CNG (H-CNG) as fuel for buses in public transport, consider the following statements:\n1. The main advantage of the use of H-CNG is the elimination of carbon monoxide emissions.\n2. H-CNG as fuel reduces carbon dioxide and hydrocarbon emissions.\n3. Hydrogen up to one-fifth by volume can be blended with CNG as fuel for buses.\n4. H-CNG makes the fuel less expensive than CNG.\nWhich of the statements given above is/are correct?",1 only,2 and 3 only,4 only,"1, 2, 3 and 4",B,,Environment & Ecology and Disaster Management,"Environment, Sustainable Development and General Issues",2019,
GS1,,"It is possible to produce algae-based biofuels, but what is/are the likely limitation(s) of developing countries in promoting this industry?\n1. Production of algae-based biofuels is possible in seas only and not on continents.\n2. Setting up and engineering the algae-based biofuels production requires a high level of expertise/technology until the construction is complete.\n3. Economically viable production necessitates the setting up of large-scale facilities, which may raise ecological and social concerns.\nSelect the correct answer using the code given below:",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",B,,Environment & Ecology and Disaster Management,"Environment, Sustainable Development and General Issues",2017,
GS1,,Consider the following statements:\n1. The Sustainable Development Goals were first proposed in 1972 by a global think tank called the 'Club of Rome'.\n2. The Sustainable Development Goals have to be achieved by 2030.\nWhich of the statements given above is/are correct?,1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Environment & Ecology and Disaster Management,"Environment, Sustainable Development and General Issues",2016,
GS1,,"With reference to 'Agenda 21', sometimes seen in the news, consider the following statements:\n1. It is a global action plan for sustainable development.\n2. It originated in the World Summit on Sustainable Development held in Johannesburg in 2002.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,Environment & Ecology and Disaster Management,"Environment, Sustainable Development and General Issues",2016,
GS1,,"With reference to 'fly ash' produced by the power plants using the coal as fuel, which of the following statements is/are correct?\n1. Fly ash can be used in the production of bricks for building construction.\n2. Fly ash can be used as a replacement for some of the Portland cement contents of concrete.\n3. Fly ash is made up of silicon dioxide and calcium oxide only and does not contain any toxic elements.",1 and 2 only,2 only,1 and 3 only,3 only,A,,Environment & Ecology and Disaster Management,"Environment, Sustainable Development and General Issues",2015,
GS1,,"What is the Rio+20 Conference, often mentioned in the news?",It is the United Nations Conference on Sustainable Development.,It is a Ministerial Meeting of the World Trade Organisation.,It is a Conference of the Intergovernmental Panel on Climate Change.,It is a Conference of the Member Countries of the Convention on Biological Diversity.,A,,Environment & Ecology and Disaster Management,"Environment, Sustainable Development and General Issues",2015,
GS1,,"With reference to the usefulness of the by-products of the sugar industry, which of the following statements is/are correct?\n1. Bagasse can be used as biomass fuel for the generation of energy.\n2. Molasses can be used as one of the feedstocks for the production of synthetic chemical fertilisers.\n3. Molasses can be used for the production of ethanol.",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C,,Environment & Ecology and Disaster Management,"Environment, Sustainable Development and General Issues",2013,
GS1,,"Biomass gasification is considered to be one of the sustainable solutions to the power crisis in India. In this context which of the following statements is/are correct?\n1. Coconut shells, groundnut shells and rice husk can be used in biomass gasification\n2. The combustible gases generated from biomass gasification consist of hydrogen and carbon dioxide only\n3. The combustible gases generated from biomass gasification can be used for direct heat generation but not in internal combustion engines.",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,,Environment & Ecology and Disaster Management,"Environment, Sustainable Development and General Issues",2012,
